 1.81970086e+02 -1.15643087e+02  1.81970086e+02 -7.68270450e+01 
 1.86208714e+02 -1.15453250e+02  1.86208714e+02 -7.71167850e+01 
 1.90546072e+02 -1.15262978e+02  1.90546072e+02 -7.74005789e+01 
 1.94984460e+02 -1.15072289e+02  1.94984460e+02 -7.76785217e+01 
 1.99526231e+02 -1.14881199e+02  1.99526231e+02 -7.79507077e+01 
 2.04173794e+02 -1.14689726e+02  2.04173794e+02 -7.82172329e+01 
 2.08929613e+02 -1.14497884e+02  2.08929613e+02 -7.84781919e+01 
 2.13796209e+02 -1.14305689e+02  2.13796209e+02 -7.87336799e+01 
 2.18776162e+02 -1.14113157e+02  2.18776162e+02 -7.89837917e+01 
 2.23872114e+02 -1.13920300e+02  2.23872114e+02 -7.92286218e+01 
 2.29086765e+02 -1.13727132e+02  2.29086765e+02 -7.94682642e+01 
 2.34422882e+02 -1.13533668e+02  2.34422882e+02 -7.97028125e+01 
 2.39883292e+02 -1.13339918e+02  2.39883292e+02 -7.99323593e+01 
 2.45470892e+02 -1.13145895e+02  2.45470892e+02 -8.01569973e+01 
 2.51188643e+02 -1.12951611e+02  2.51188643e+02 -8.03768178e+01 
 2.57039578e+02 -1.12757077e+02  2.57039578e+02 -8.05919110e+01 
 2.63026799e+02 -1.12562303e+02  2.63026799e+02 -8.08023672e+01 
 2.69153480e+02 -1.12367300e+02  2.69153480e+02 -8.10082752e+01 
 2.75422870e+02 -1.12172078e+02  2.75422870e+02 -8.12097226e+01 
 2.81838293e+02 -1.11976645e+02  2.81838293e+02 -8.14067965e+01 
 2.88403150e+02 -1.11781011e+02  2.88403150e+02 -8.15995828e+01 
 2.95120923e+02 -1.11585185e+02  2.95120923e+02 -8.17881662e+01 
 3.01995172e+02 -1.11389174e+02  3.01995172e+02 -8.19726303e+01 
 3.09029543e+02 -1.11192988e+02  3.09029543e+02 -8.21530575e+01 
 3.16227766e+02 -1.10996633e+02  3.16227766e+02 -8.23295293e+01 
 3.23593657e+02 -1.10800117e+02  3.23593657e+02 -8.25021255e+01 
 3.31131121e+02 -1.10603446e+02  3.31131121e+02 -8.26709257e+01 
 3.38844156e+02 -1.10406629e+02  3.38844156e+02 -8.28360071e+01 
 3.46736850e+02 -1.10209670e+02  3.46736850e+02 -8.29974466e+01 
 3.54813389e+02 -1.10012576e+02  3.54813389e+02 -8.31553195e+01 
 3.63078055e+02 -1.09815353e+02  3.63078055e+02 -8.33096999e+01 
 3.71535229e+02 -1.09618007e+02  3.71535229e+02 -8.34606606e+01 
 3.80189396e+02 -1.09420543e+02  3.80189396e+02 -8.36082735e+01 
 3.89045145e+02 -1.09222966e+02  3.89045145e+02 -8.37526085e+01 
 3.98107171e+02 -1.09025282e+02  3.98107171e+02 -8.38937352e+01 
 4.07380278e+02 -1.08827494e+02  4.07380278e+02 -8.40317217e+01 
 4.16869383e+02 -1.08629608e+02  4.16869383e+02 -8.41666344e+01 
 4.26579519e+02 -1.08431628e+02  4.26579519e+02 -8.42985389e+01 
 4.36515832e+02 -1.08233557e+02  4.36515832e+02 -8.44274998e+01 
 4.46683592e+02 -1.08035401e+02  4.46683592e+02 -8.45535800e+01 
 4.57088190e+02 -1.07837162e+02  4.57088190e+02 -8.46768418e+01 
 4.67735141e+02 -1.07638845e+02  4.67735141e+02 -8.47973454e+01 
 4.78630092e+02 -1.07440453e+02  4.78630092e+02 -8.49151509e+01 
 4.89778819e+02 -1.07241988e+02  4.89778819e+02 -8.50303167e+01 
 5.01187234e+02 -1.07043456e+02  5.01187234e+02 -8.51429000e+01 
 5.12861384e+02 -1.06844857e+02  5.12861384e+02 -8.52529570e+01 
 5.24807460e+02 -1.06646196e+02  5.24807460e+02 -8.53605431e+01 
 5.37031796e+02 -1.06447475e+02  5.37031796e+02 -8.54657121e+01 
 5.49540874e+02 -1.06248697e+02  5.49540874e+02 -8.55685169e+01 
 5.62341325e+02 -1.06049864e+02  5.62341325e+02 -8.56690093e+01 
 5.75439937e+02 -1.05850979e+02  5.75439937e+02 -8.57672402e+01 
 5.88843655e+02 -1.05652044e+02  5.88843655e+02 -8.58632567e+01 
 6.02559586e+02 -1.05453062e+02  6.02559586e+02 -8.59571129e+01 
 6.16595002e+02 -1.05254034e+02  6.16595002e+02 -8.60488539e+01 
 6.30957344e+02 -1.05054962e+02  6.30957344e+02 -8.61385266e+01 
 6.45654229e+02 -1.04855848e+02  6.45654229e+02 -8.62261766e+01 
 6.60693448e+02 -1.04656695e+02  6.60693448e+02 -8.63118486e+01 
 6.76082975e+02 -1.04457504e+02  6.76082975e+02 -8.63955845e+01 
 6.91830971e+02 -1.04258277e+02  6.91830971e+02 -8.64774315e+01 
 7.07945784e+02 -1.04059015e+02  7.07945784e+02 -8.65574298e+01 
 7.24435960e+02 -1.03859720e+02  7.24435960e+02 -8.66356203e+01 
 7.41310241e+02 -1.03660393e+02  7.41310241e+02 -8.67120433e+01 
 7.58577575e+02 -1.03461036e+02  7.58577575e+02 -8.67867320e+01 
 7.76247117e+02 -1.03261651e+02  7.76247117e+02 -8.68597377e+01 
 7.94328235e+02 -1.03062237e+02  7.94328235e+02 -8.69310917e+01 
 8.12830516e+02 -1.02862798e+02  8.12830516e+02 -8.70008309e+01 
 8.31763771e+02 -1.02663333e+02  8.31763771e+02 -8.70689914e+01 
 8.51138038e+02 -1.02463844e+02  8.51138038e+02 -8.71356088e+01 
 8.70963590e+02 -1.02264332e+02  8.70963590e+02 -8.72007175e+01 
 8.91250938e+02 -1.02064799e+02  8.91250938e+02 -8.72643480e+01 
 9.12010839e+02 -1.01865244e+02  9.12010839e+02 -8.73265404e+01 
 9.33254301e+02 -1.01665669e+02  9.33254301e+02 -8.73873234e+01 
 9.54992586e+02 -1.01466076e+02  9.54992586e+02 -8.74467273e+01 
 9.77237221e+02 -1.01266464e+02  9.77237221e+02 -8.75047862e+01 
 1.00000000e+03 -1.01066834e+02  1.00000000e+03 -8.75615273e+01 
 1.02329299e+03 -1.00867188e+02  1.02329299e+03 -8.76169832e+01 
 1.04712855e+03 -1.00667526e+02  1.04712855e+03 -8.76711815e+01 
 1.07151931e+03 -1.00467849e+02  1.07151931e+03 -8.77241490e+01 
 1.09647820e+03 -1.00268157e+02  1.09647820e+03 -8.77759164e+01 
 1.12201845e+03 -1.00068452e+02  1.12201845e+03 -8.78265079e+01 
 1.14815362e+03 -9.98687331e+01  1.14815362e+03 -8.78759528e+01 
 1.17489755e+03 -9.96690017e+01  1.17489755e+03 -8.79242756e+01 
 1.20226443e+03 -9.94692583e+01  1.20226443e+03 -8.79714991e+01 
 1.23026877e+03 -9.92695033e+01  1.23026877e+03 -8.80176534e+01 
 1.25892541e+03 -9.90697372e+01  1.25892541e+03 -8.80627586e+01 
 1.28824955e+03 -9.88699607e+01  1.28824955e+03 -8.81068411e+01 
 1.31825674e+03 -9.86701741e+01  1.31825674e+03 -8.81499193e+01 
 1.34896288e+03 -9.84703779e+01  1.34896288e+03 -8.81920228e+01 
 1.38038426e+03 -9.82705726e+01  1.38038426e+03 -8.82331702e+01 
 1.41253754e+03 -9.80707585e+01  1.41253754e+03 -8.82733833e+01 
 1.44543977e+03 -9.78709360e+01  1.44543977e+03 -8.83126832e+01 
 1.47910839e+03 -9.76711056e+01  1.47910839e+03 -8.83510872e+01 
 1.51356125e+03 -9.74712675e+01  1.51356125e+03 -8.83886211e+01 
 1.54881662e+03 -9.72714222e+01  1.54881662e+03 -8.84253016e+01 
 1.58489319e+03 -9.70715699e+01  1.58489319e+03 -8.84611508e+01 
 1.62181010e+03 -9.68717109e+01  1.62181010e+03 -8.84961846e+01 
 1.65958691e+03 -9.66718456e+01  1.65958691e+03 -8.85304227e+01 
 1.69824365e+03 -9.64719743e+01  1.69824365e+03 -8.85638821e+01 
 1.73780083e+03 -9.62720971e+01  1.73780083e+03 -8.85965823e+01 
 1.77827941e+03 -9.60722145e+01  1.77827941e+03 -8.86285405e+01 
 1.81970086e+03 -9.58723265e+01  1.81970086e+03 -8.86597709e+01 
 1.86208714e+03 -9.56724336e+01  1.86208714e+03 -8.86902910e+01 
 1.90546072e+03 -9.54725358e+01  1.90546072e+03 -8.87201202e+01 
 1.94984460e+03 -9.52726334e+01  1.94984460e+03 -8.87492693e+01 
 1.99526231e+03 -9.50727266e+01  1.99526231e+03 -8.87777570e+01 
 2.04173794e+03 -9.48728156e+01  2.04173794e+03 -8.88055975e+01 
 2.08929613e+03 -9.46729006e+01  2.08929613e+03 -8.88328070e+01 
 2.13796209e+03 -9.44729818e+01  2.13796209e+03 -8.88593954e+01 
 2.18776162e+03 -9.42730593e+01  2.18776162e+03 -8.88853820e+01 
 2.23872114e+03 -9.40731334e+01  2.23872114e+03 -8.89107754e+01 
 2.29086765e+03 -9.38732041e+01  2.29086765e+03 -8.89355954e+01 
 2.34422882e+03 -9.36732717e+01  2.34422882e+03 -8.89598510e+01 
 2.39883292e+03 -9.34733362e+01  2.39883292e+03 -8.89835535e+01 
 2.45470892e+03 -9.32733977e+01  2.45470892e+03 -8.90067177e+01 
 2.51188643e+03 -9.30734566e+01  2.51188643e+03 -8.90293577e+01 
 2.57039578e+03 -9.28735128e+01  2.57039578e+03 -8.90514829e+01 
 2.63026799e+03 -9.26735664e+01  2.63026799e+03 -8.90731037e+01 
 2.69153480e+03 -9.24736176e+01  2.69153480e+03 -8.90942336e+01 
 2.75422870e+03 -9.22736666e+01  2.75422870e+03 -8.91148854e+01 
 2.81838293e+03 -9.20737133e+01  2.81838293e+03 -8.91350677e+01 
 2.88403150e+03 -9.18737579e+01  2.88403150e+03 -8.91547901e+01 
 2.95120923e+03 -9.16738005e+01  2.95120923e+03 -8.91740675e+01 
 3.01995172e+03 -9.14738412e+01  3.01995172e+03 -8.91929051e+01 
